Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1944.377,1.61E-05,8.08E-05,4.32E-05,6.86E-05,-9.50E-06,4.14E-05,2.82E-05,5.61E-06,1.37E-05,9.33E-05,7.95E-05,4.40E-05,8.67E-05,9.28E-05,1.12E-04,7.60E-05
1944.859,9.18E-06,7.59E-05,4.18E-05,6.49E-05,-8.30E-06,5.04E-05,3.81E-05,2.04E-05,3.09E-05,1.05E-04,9.54E-05,5.20E-05,1.02E-04,1.12E-04,1.30E-04,8.90E-05
1945.341,1.84E-06,6.71E-05,3.76E-05,5.81E-05,-8.76E-06,5.55E-05,4.44E-05,2.73E-05,4.32E-05,1.11E-04,1.06E-04,5.56E-05,1.12E-04,1.25E-04,1.44E-04,9.49E-05
1945.823,-4.94E-06,5.64E-05,3.15E-05,4.79E-05,-1.34E-05,5.16E-05,4.09E-05,2.03E-05,4.27E-05,1.01E-04,1.02E-04,4.71E-05,1.07E-04,1.23E-04,1.43E-04,8.54E-05
1946.305,-1.06E-05,4.55E-05,2.43E-05,3.52E-05,-2.24E-05,3.81E-05,2.75E-05,5.77E-07,2.87E-05,7.85E-05,8.50E-05,2.58E-05,8.75E-05,1.07E-04,1.25E-04,6.07E-05
1946.788,-1.51E-05,3.51E-05,1.61E-05,2.16E-05,-3.34E-05,1.85E-05,9.82E-06,-2.42E-05,7.94E-06,5.00E-05,6.07E-05,-7.71E-07,6.11E-05,8.24E-05,9.92E-05,2.96E-05
1947.27,-1.87E-05,2.55E-05,7.16E-06,9.36E-06,-4.28E-05,-4.63E-07,-3.41E-06,-4.31E-05,-8.76E-06,2.75E-05,4.11E-05,-2.13E-05,4.05E-05,6.34E-05,7.64E-05,5.65E-06
1947.752,-2.17E-05,1.63E-05,-2.27E-06,1.87E-07,-4.80E-05,-1.43E-05,-6.57E-06,-4.94E-05,-1.43E-05,1.88E-05,3.40E-05,-2.78E-05,3.44E-05,5.81E-05,6.63E-05,-1.87E-06
1948.234,-2.36E-05,7.32E-06,-1.15E-05,-4.77E-06,-4.85E-05,-2.13E-05,8.42E-07,-4.25E-05,-7.48E-06,2.51E-05,4.04E-05,-1.96E-05,4.39E-05,6.81E-05,7.09E-05,8.01E-06
1948.716,-2.45E-05,-1.17E-06,-1.98E-05,-5.91E-06,-4.66E-05,-2.45E-05,1.27E-05,-2.95E-05,4.40E-06,3.92E-05,5.25E-05,-4.24E-06,6.12E-05,8.50E-05,8.32E-05,2.70E-05
1949.198,-2.39E-05,-8.63E-06,-2.62E-05,-3.80E-06,-4.54E-05,-2.83E-05,2.05E-05,-1.99E-05,1.16E-05,5.08E-05,5.97E-05,7.19E-06,7.46E-05,9.74E-05,9.27E-05,4.27E-05
1949.68,-2.20E-05,-1.41E-05,-3.05E-05,6.42E-07,-4.73E-05,-3.57E-05,1.79E-05,-2.06E-05,6.84E-06,5.18E-05,5.43E-05,6.62E-06,7.51E-05,9.62E-05,9.10E-05,4.62E-05
1950.162,-1.91E-05,-1.68E-05,-3.22E-05,7.07E-06,-5.16E-05,-4.58E-05,5.23E-06,-3.13E-05,-9.69E-06,4.19E-05,3.71E-05,-5.47E-06,6.24E-05,8.12E-05,7.82E-05,3.71E-05
1950.645,-1.58E-05,-1.64E-05,-3.17E-05,1.54E-05,-5.54E-05,-5.39E-05,-1.14E-05,-4.50E-05,-3.04E-05,2.79E-05,1.65E-05,-2.09E-05,4.42E-05,6.03E-05,6.25E-05,2.38E-05
1951.127,-1.25E-05,-1.33E-05,-2.95E-05,2.53E-05,-5.55E-05,-5.43E-05,-2.27E-05,-5.18E-05,-4.44E-05,2.03E-05,4.56E-06,-2.76E-05,3.24E-05,4.58E-05,5.58E-05,1.88E-05
