Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,,,,,,,,,,
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,
2288.126,-8.05E-05,-6.31E-05,8.79E-06,1.82E-05,-7.81E-05,-5.79E-06,-1.09E-05,-2.42E-05,-1.33E-05,-1.33E-05,-1.52E-05,-4.35E-05,-4.67E-05,2.30E-05,2.75E-05,-3.67E-05,,,,,,,,,,
2288.608,-8.04E-05,-6.58E-05,1.12E-05,2.96E-05,-7.86E-05,-6.17E-07,-7.11E-06,-3.68E-05,-1.58E-05,-1.58E-05,1.58E-06,-4.19E-05,-3.69E-05,2.22E-05,3.28E-05,-3.21E-05,,,,,,,,,,
2289.091,-7.91E-05,-6.76E-05,1.38E-05,3.65E-05,-7.82E-05,7.46E-07,-5.25E-06,-4.94E-05,-1.83E-05,-1.83E-05,1.32E-05,-4.00E-05,-3.18E-05,1.43E-05,3.79E-05,-2.61E-05,,,,,,,,,,
2289.573,-7.89E-05,-6.95E-05,1.51E-05,3.64E-05,-7.83E-05,-2.11E-06,-6.55E-06,-6.20E-05,-2.17E-05,-2.17E-05,1.64E-05,-3.91E-05,-3.32E-05,-2.05E-06,4.01E-05,-2.08E-05,,,,,,,,,,
2290.055,-8.17E-05,-7.25E-05,1.34E-05,2.76E-05,-7.97E-05,-9.35E-06,-1.21E-05,-7.45E-05,-2.62E-05,-2.62E-05,9.48E-06,-4.01E-05,-4.13E-05,-2.59E-05,3.73E-05,-1.83E-05,,,,,,,,,,
2290.537,-8.86E-05,-7.60E-05,7.58E-06,1.10E-05,-8.17E-05,-1.98E-05,-2.14E-05,-8.63E-05,-3.14E-05,-3.14E-05,-6.66E-06,-4.32E-05,-5.42E-05,-5.40E-05,2.85E-05,-1.99E-05,,,,,,,,,,
2291.019,-9.87E-05,-7.84E-05,-1.92E-06,-1.07E-05,-8.26E-05,-3.13E-05,-3.24E-05,-9.56E-05,-3.64E-05,-3.64E-05,-2.85E-05,-4.74E-05,-6.85E-05,-8.12E-05,1.55E-05,-2.54E-05,,,,,,,,,,
2291.501,-1.10E-04,-7.84E-05,-1.37E-05,-3.40E-05,-8.06E-05,-4.25E-05,-4.32E-05,-1.01E-04,-4.04E-05,-4.04E-05,-5.11E-05,-5.15E-05,-8.13E-05,-1.03E-04,7.44E-07,-3.35E-05,,,,,,,,,,
2291.983,-1.17E-04,-7.28E-05,-2.36E-05,-5.26E-05,-7.20E-05,-4.93E-05,-4.91E-05,-9.77E-05,-4.06E-05,-4.06E-05,-6.65E-05,-5.21E-05,-8.78E-05,-1.12E-04,-9.92E-06,-3.96E-05,,,,,,,,,,
2292.465,-1.23E-04,-6.75E-05,-3.52E-05,-6.94E-05,-6.20E-05,-5.69E-05,-5.47E-05,-9.08E-05,-4.35E-05,-4.35E-05,-7.63E-05,-5.41E-05,-9.32E-05,-1.13E-04,-1.99E-05,-4.75E-05,,,,,,,,,,
2292.948,-1.32E-04,-6.89E-05,-5.20E-05,-8.79E-05,-5.69E-05,-7.01E-05,-6.47E-05,-8.56E-05,-5.50E-05,-5.50E-05,-8.34E-05,-6.26E-05,-1.03E-04,-1.12E-04,-3.24E-05,-6.04E-05,,,,,,,,,,
2293.43,-1.21E-04,-5.68E-05,-5.12E-05,-8.60E-05,-3.62E-05,-6.69E-05,-5.80E-05,-6.14E-05,-5.33E-05,-5.33E-05,-6.68E-05,-5.57E-05,-9.46E-05,-8.98E-05,-2.61E-05,-5.60E-05,,,,,,,,,,
2293.912,-1.19E-04,-5.96E-05,-5.97E-05,-9.18E-05,-2.90E-05,-7.45E-05,-6.29E-05,-4.82E-05,-6.58E-05,-6.58E-05,-5.65E-05,-6.10E-05,-9.72E-05,-7.67E-05,-2.91E-05,-6.15E-05,,,,,,,,,,
2294.394,-1.15E-04,-6.45E-05,-6.46E-05,-9.32E-05,-2.33E-05,-7.94E-05,-6.76E-05,-3.56E-05,-7.83E-05,-7.83E-05,-4.35E-05,-6.47E-05,-9.71E-05,-6.34E-05,-2.95E-05,-6.41E-05,,,,,,,,,,
2294.876,-1.08E-04,-6.86E-05,-6.34E-05,-8.95E-05,-1.76E-05,-7.91E-05,-7.07E-05,-2.41E-05,-8.68E-05,-8.68E-05,-2.93E-05,-6.41E-05,-9.20E-05,-5.00E-05,-2.60E-05,-6.17E-05,,,,,,,,,,
2295.358,-1.09E-04,-8.00E-05,-6.58E-05,-9.11E-05,-2.11E-05,-8.28E-05,-8.15E-05,-2.48E-05,-1.00E-04,-1.00E-04,-2.56E-05,-6.75E-05,-9.12E-05,-4.74E-05,-2.80E-05,-6.39E-05,,,,,,,,,,
